job_listing_no,technical_skill
7219,computer science
7220,computer science
7220,etl
7220,software integration architecture
7220,database design
7220,database development
7220,new c#
7220,asp.net
7220,ado.net
7220,html
7220,eml/ web services
7220,jquery
7220,javascript
7220,sql
7220,oracle
7220,shell
7220,perl
7220,
7221,data analysis
7221,statistical software
7221,eviews
7221,sas
7221,
7222,software development engineer (c
7222,c++
7222,linux) - 5788
7223,production support
7223,data conversion
7223,data mapping
7223,on-call
7223,vpn
7223,rdbms
7223,
7224,analysis
7224,automated
7224,civil
7224,database
7224,development
7224,http
7224,iso
7224,linux
7224,management
7224,metrics
7224,networking
7224,networks
7224,php
7224,programming
7224,project
7224,sales
7224,security
7224,supervision
7224,testing
7224,validation
7224,vmware
7224,windows
7225,analysis
7225,analyst
7225,architecture
7225,business analyst
7225,business objects
7225,business requirements
7225,consulting
7225,data analysis
7225,database
7225,data modeling
7225,data warehouse
7225,development
7225,excel
7225,foundation
7225,management
7225,microsoft excel
7225,modeling
7225,project
7225,project management
7225,re-engineering
7225,sql
7225,sql server
7225,technical writing
7225,validation
7226,expert in developing verification architecture and design of leading edge networking
7226,storage
7226,embedded computing asic and/ or fpga.
7227,network administrator
7228,core java with coding challenge
7229,pp/qm/pm - master data records
7230,python
7230,rabbitmq
7230,celery
7230,mssql
7230,postgressql
7230,strong experience knowledge with data structures  sql
7230,json
7230,nosql
7230,c#
7230,angularjs/javascript
7230,aws: ec2
7230,rds
7230,linux
7230,and windows
7230,iis
7231,senior business analyst
7231,incident management
7231,change management   security compliance
7232,ms-sql dba
7232,etl
7232,db
7232,tfs
7232,replication
7233,postgres sql dba
7234,modeling
7234,c++
7234,matlab
7234,python
7234,uml
7234,sysml
7234,naval intelligence - modeling
7234,c++
7234,matlab
7234,python
7234,uml
7234,sysml
7234,naval intelligence
7235,minimum of 8 years practical (hands-on) experience in sql server database administration and data modeling providing development dba support. thorough knowledge of sql server databases along with s
7236,
7237,gathering requirements
7237,supply chain
7237,user requirements
7237,software requirements
7237,workflow diagrams
7237,test case
7237,data management
7237,sql
7238,erp
7238,requirements gathering
7238,business process
7238,mobile devices
7239,analytical skills
7239,architecture
7239,backup and recovery
7239,business requirements
7239,capacity planning
7239,change management
7239,database
7239,database administration
7239,data modeling
7239,dba
7239,development
7239,disaster recovery
7239,encryption
7239,erwin
7239,linux
7239,management
7239,modeler
7239,modeling
7239,oracle
7239,oracle dba
7239,pl/sql
7239,project
7239,qa
7239,security
7239,shell scripting
7239,sox
7239,sql
7239,supervision
7239,unix
7240,software development engineer i
7241,
7242,hardware
7242,software
7242,peripherals
7242,components
7242,networking protocols
7242,installing
7242,imaging
7242,migrating
7242,documenting
7243,agile
7243,analysis
7243,application servers
7243,automated
7243,data analysis
7243,developer
7243,development
7243,ejb
7243,git
7243,j2ee
7243,java
7243,jenkins
7243,linux
7243,management
7243,networking
7243,oracle
7243,perl
7243,pl/sql
7243,programming
7243,project
7243,project management
7243,scheduling
7243,security
7243,shell scripting
7243,solaris
7243,source code
7243,sql
7243,telecommunications
7243,unix
7243,video
7243,xml
7244,bind
7244,bi tools
7244,business intelligence
7244,c#
7244,css
7244,html
7244,http
7244,sql
7244,sql server
7245,open operation engineer opportunity available in pryor creek
7245,ok
7246,min  2 yr degree
7246,2-4 yrs of customer service
7246,help desk
7246,data center/call center
7246,exp. ms office suite (word
7246,excel
7246,power point
7246,out look)
7247,architecture
7247,development
7247,dns
7247,firewall
7247,help desk
7247,http
7247,lan
7247,linux
7247,manager
7247,management
7247,networks
7247,oracle
7247,protocols
7247,security
7247,smtp
7247,tcp/ip
7247,wan
7248,analysis
7248,analyst
7248,analytical skills
7248,architecture
7248,business intelligence
7248,business requirements
7248,data analysis
7248,data architecture
7248,database
7248,data mining
7248,data modeling
7248,dba
7248,development
7248,management
7248,metrics
7248,modeling
7248,project
7248,research
7249,etl
7249,data processing and loading
7249,database structure
7249,design and information gathering
7249,managing projects
7250,audits
7250,(urs
7250,frs
7250,ds)
7250,data integrity
7251,java
7251,scala
7251,hadoop
7252,data mart
7252,excel
7252,manager
7252,management
7252,microsoft excel
7252,microsoft word
7252,powerpoint
7252,validation
7253,teamcenter
7254,analytical
7254,applications
7254,data warehouse
7254,developer
7254,development
7254,diagnostic
7254,performance
7254,programming
7254,software
7254,sql
7254,sql server
7254,systems
7254,testing
7254,validation
7255,c#
7255,asp.net
7255,mvc
7255,javascript
7255,xml
7255,sql
7255,sql - c#
7255,asp.net
7255,mvc
7255,javascript
7255,xml
7255,sql
7255,sql
7256,staffing - it etl developer
7257,expertise in: sql or oracle
7257,system development methodology
7257,systems architecture; strong understanding: data warehouse & business intelligence
7258,.net
7258,ajax
7258,asp
7258,asp.net
7258,css
7258,database
7258,data modeling
7258,developer
7258,development
7258,e-commerce
7258,javascript
7258,modeling
7258,object oriented design
7258,programming
7258,quality assurance
7258,sql
7258,sql server
7258,xml
7259,microstrategy development
7260,product management
7260,saas
7260,startup experience
7260,html
7260,javascript
7260,bot building
7260,partner/business development
7260,data analysis
7260,chatbots
7260,artificial intelligence - product management
7260,saas
7260,startup experience
7260,html
7260,javascript
7260,bot building
7260,partner/business development
7260,data analysis
7260,chatbots
7260,artificial intelligence
7261,storage
7261,netapp
7261,brocade
7261,hitachi
7262,analysis
7262,architecture
7262,data analysis
7262,data collection
7262,development
7262,exchange
7262,firmware
7262,hardware
7262,linux
7262,modeling
7262,powershell
7262,security
7262,simulation
7262,system architecture
7262,systems administrator
7262,unix
7262,vmware
7262,windows
7262,windows 7
7263,sql server
7263,database development
7263,database administration
7263,ssis - sql server
7263,database development
7263,database administration
7263,ssis
7264,risk
7264,distributed systems
7264,big data
7264,java
7264,work with 3rd party vendors
7265,hardware_device_testing
7265,rack and stack
7265,data center
7265,space allocation planning including data center
7266,delivering consumer software products on web
7266,css3/sass
7266,es6
7266,node.js/react.js/firebase/docker/aws
7266,message driven applications
7266,efficient data manipulation
7266,caching/scaling
7266,ux principles/responsive and spa knowledge - delivering consumer software products on web
7266,css3/sass
7266,es6
7266,node.js/react.js/firebase/docker/aws
7266,message driven applications
7266,efficient data manipulation
7266,caching/scaling
7266,ux principles/responsive and spa knowledge
7267,c++ linux algo
7268,sql server
7268,sql
7268,ssrs
7268,data warehouse
7268,visual basic studio .net
7268,summary of the function/role
7268,asp.net
7268,vb.net
7268,c#
7268,java
7268,ajax
7268,html
7268,php
7268,javascript
7268,rest api
7268,json
7268,ruby
7268,and python.
7269,data analysis
7269,excel
7269,sql
7269,cosmos/scope and basic python knowledge
7270,datastage
7271,tableau
7272,cloud and devops infrastructure professional or manager
7273,.net developer
7273,c#
7273,angular.js
7273,mysql
7274,ajax
7274,android
7274,apache
7274,css
7274,database
7274,data mining
7274,developer
7274,development
7274,dna
7274,ios
7274,java
7274,javascript
7274,libraries
7274,linux
7274,management
7274,mysql
7274,mysql
7274,php
7274,project
7274,supervision
7274,web developer
7275,ocm
7275,organizational change management
7275,change management
7275,energy
7275,utilities
7275,data analysis
7275,behavioral - people
7275,process
7275,feelings
7275,analyzing program data
7275,coordinating
7275,spreadsheets
7276,windows server
7276,microsoft windows
7276,systems engineer
7276,systems admin
7276,active directory
7276,microsoft exchange
7276,tcp/ip
7276,virtualization technology
7276,data networking
7277,java
7277,aws (redshift
7277,s3
7277,data pipeline)
7277,sql
7277,no sql (cassandra
7277,dynamodb)
7277,git
7277,jenkins
7277,agile
7278,accounting
7278,applications
7278,architecture
7278,business requirements
7278,database
7278,data modeling
7278,developer
7278,javascript
7278,modeling
7278,programming
7278,project
7278,salesforce
7278,sdlc
7278,security
7278,test
7279,needs at least 5 years experience as a titled project manager with overall experience to be more than 10 years in it industry.  should have managed large projects.
7280,analysis
7280,consulting
7280,database
7280,data warehouse
7280,db2
7280,informatica
7280,manager
7280,management
7280,oracle
7280,research
7280,security
7280,simulation
7280,sql
7280,sql server
7280,unix
7281,apex
7281,visualforce
7281,soql
7281,force.com
7281,java
7281,javascript
7281,lightning
7282,development
7282,management
7282,network
7282,performance
7282,quality
7282,supervisor
7282,system
7283,experience implementing and integrating master data management systems in a retail or cpg or manufacturing clients is strongly desired
7283,expert in of data management principles and methodologies
7284,cognos tm1 admin
7285,secret clearance and have a security + certification
7285,adp software
7285,equipment
7285,telecommunications
7285,data communications processors
7285,routers
7285,switches
7285,multiplexers
7285,dsu/csu modems
7285,line
7286,analysis
7286,architecture
7286,cisco
7286,citrix
7286,database
7286,database administration
7286,development
7286,exchange
7286,firmware
7286,hardware
7286,management
7286,modeling
7286,networks
7286,pmp
7286,security
7286,simulation
7286,system architecture
7286,testing
7286,vmware
7286,vsphere
7287,informatica powercenter
7287,oracle
7287,dimensional data modeling
7287,healthcare/payor industry experience
7287,data warehouse
7288,business analyst
7289,eligibility operations adviser and hipaa privacy and security rules and hipp or premium assistance
7290,sql
7290,ssis
7290,ssrs
7290,data warehouse
7290,business analyst
7291,teradata lead developer in charlotte
7291,nc
7292,bigdata sme-hortonworks and hadoop
7293,sql server
7293,sql scripts
7293,star/snow flake schemas
7293,mdx queries
7293,olap-cubes
7293,mdx queries
7293,ssrs
7293,ssis
7293,ssas cube generation
7293,drill down
7293,drill through
7293,parameterized
7293,cascading
7293,table
7293,matrix
7293,chart
7293,adho
7294,agile
7294,api
7294,data warehouse
7294,developer
7294,development
7294,http
7294,java
7294,javascript
7294,lifecycle
7294,mysql
7294,mysql
7294,nosql
7294,oop
7294,quality assurance
7294,release
7294,ruby
7294,scrum
7294,security
7294,soap
7294,testing
7294,xml
7294,xsl
7295,etl
7295,informatica
7295,sql
7295,business intelligence
7296,dynamics ax
7296,ssis
7296,sql
7297,analysis
7297,cisco
7297,development
7297,hardware
7297,management
7297,networking
7297,security
7297,simulation
7297,software engineer
7297,vmware
7297,windows
7298,adobe
7298,agile
7298,analysis
7298,analyst
7298,api
7298,architecture
7298,business intelligence
7298,data architecture
7298,data modeling
7298,development
7298,ecommerce
7298,exchange
7298,java
7298,manager
7298,management
7298,modeling
7298,project
7298,project management
7298,sap
7299,process control systems with a mix of windows
7299,linux and openvms operating systems; oracle and ms sql server databases; and osisofts pi data historian
7299,operating systems
7299,software design
7299,programming
7300,sas
7300,sas/base
7300,sas/graph
7300,sas clinical
7300,sql
7300,data analysis
7301,strong business and/or technical background in the areas of master data management
7301,meta data management
7301,data quality
7301,data governance
7301,data integration (etl) and data security
7302,sales coordination
7303,requires a strong working knowledge of vmware and microsoft-based enterprise environments including windows server operating systems
7303,powershell scripting
7303,sccm
7303,active directory
7303,dns
7303,and gpos.
7304,access
7304,analyst
7304,application
7304,applications
7304,cisco
7304,development
7304,disaster recovery
7304,engineer
7304,engineering
7304,engineers
7304,firewall
7304,hardware
7304,linux
7304,management
7304,metrics
7304,network
7304,networking
7304,performance
7304,perl
7304,protocols
7304,python
7304,research
7304,routers
7304,security
7304,software
7304,switches
7304,systems
7304,tcp/ip
7304,test
7304,testing
7304,vpn
7304,windows
7305,full stack
7305,java
7305,javascript
7305,tdd
7305,ui
7305,ux
7305,agile
7306,aerospace
7306,analysis
7306,data collection
7306,development
7306,dns
7306,encryption
7306,firewall
7306,foundation
7306,linux
7306,management
7306,networking
7306,perl
7306,programming
7306,protocols
7306,python
7306,security
7306,solaris
7306,tcp/ip
7306,unix
7306,windows
7307,mongodb
7307,sql
7307,oracle
7307,sybase
7307,mysql
7307,relational and nosql databases
7308,architecture
7308,business intelligence
7308,business requirements
7308,data architecture
7308,database
7308,developer
7308,development
7308,testing
7309,new business account executive
7309,sales
7309,direct sales
7309,channel sales
7309,var sales
7309,ms office
7309,act crm
7310,etl architect informatics ssis datastage qlikview
7311,storage technologies; vmware data center solutions; cisco; netapp; disaster recovery; microsoft windows server; active directory; dns; dhcp; sql; exchange; networking; automation; process improvement
7312,scrum master ii
7312,agile methodologies
7312,software development
7312,microsoft technology stack (c#
7312,sql server)
7312,microsoft team foundation server agile or scrum templates
7313,sql server
7313,asp.net mvc
7313,wcf
7313,entity framework
7313,asp.net web api
7314,apache
7314,automated
7314,configuration management
7314,database
7314,linux
7314,management
7314,mysql
7314,mysql
7314,networking
7314,oracle
7314,windows
7315,etl informatica erwin datawarehouse data modeling
7316,4 year degree
7316,mssql
7316,active directory/ldap
7316,vmware esxi
7316,san
7316,firewall and switch admin
7316,troubleshooting
7316,script writing
7316,data backups
7317,android
7317,sdk
7317,restful api
7317,json
7317,ui kit
7317,core data
7317,core foundation
7317,network programming etc
7318,odi architect
7319,arbor
7319,automated
7319,bind
7319,brocade
7319,case
7319,ccna
7319,ccnp
7319,css
7319,development
7319,genetics
7319,html
7319,ibm
7319,management
7319,networking
7319,network engineer
7319,research
7319,sales
7319,security
7319,software engineer
7319,vmware
7319,vpn
7319,wan
7320,oracle 11g/12c
7320,pl/sql
7320,
7320,ssis
7320,fixed income
7320,equity
7321,analysis
7321,development
7321,director
7321,management
7321,sales
7321,security
7322,sql
7323,denodo
7324,java
7324,http
7324,html5
7324,css3
7324,javascript
7324,json
7324,and ajax
7324,
7325,hp quality center
7325,sql
7325,bi applications
7325,edw (enterprise data warehousing)
7325,etl
7325,obiee (oracle business intelligence)
7325,taleo
7325,oracle fusion
7326,will oversee soft dev
7326,ui dev
7326,qa + build and release
7326,and pmo
7327,hadoop unix shell hive pig java
7328,qa
7328,c++
7328,python
7328,restful
7328,regression reports
7328,data quality testing
7328,automation
7328,selenium
7328,loadrunner
7328,devops
7328,tools
7328,jenkins
7328,git
7328,continuous integration
7328,financial concepts
7328,scrums
7329,agile
7329,analysis
7329,api
7329,architecture
7329,browser
7329,data architecture
7329,database
7329,data modeling
7329,development
7329,director
7329,embedded
7329,genetic
7329,hardware
7329,management
7329,mobile development
7329,modeling
7329,programming
7329,quality assurance
7329,research
7329,risk management
7329,security
7330,production support
7330,data conversion
7330,data mapping
7330,on-call
7330,vpn
7330,rdbms
7330,
7331,business intelligence
7331,project management
7331,bi architecture
7332,iaas
7332,cloud providers (aws
7332,azure)
7332,large scale windows and linux environments
7332,platforms (vmware
7332,cloud foundry) and public/hybrid cloud iaas/paas deployments
7332,vrealize
7332,
7333,c#.net mvc developer
7333,c#.net
7333,mvc
7333,entity framework
7333,wcf and wpf
7333,mvc
7333,orm tools
7333,soa
7333,ajax
7333,web services
7333,soap
7333,rest
7333,jquery and json
7333,mvc latest version
7334,analysis
7334,cdma
7334,data analysis
7334,development
7334,ethernet
7334,excel
7334,lucent
7334,manager
7334,micro
7334,programming
7334,project
7334,rf
7334,telecommunications
7334,testing
7334,wireless
7335,aws
7335,amazon web services
7335,s3
7335,lambda
7335,data management
7335,data handlers
7335,cloud
7335,groovy
7335,grails
7335,node
7335,nodejs
7335,node.js
7335,git
7335,python
7335,javascript
7335,flask
7335,django
7335,java
7335,spring
7335,hibernate
7335,linux
7336,.net
7336,analyst
7336,business requirements
7336,case
7336,database
7336,data warehouse
7336,development
7336,management
7336,project
7336,quality assurance
7336,specification
7336,sql
7336,testing
7336,use case
7337,hmi
7337,scada
7337,factory acceptance testing (fat) - hmi
7337,scada
7337,factory acceptance testing (fat)
7338,software developer – c# | software development
7339,itil
7339,process management
7339,release management for multiple applications
7339,aws cloud infrastructure
7339,data center
7339,release processes
7339,agile
7340,eai
7340,edi
7340,biztalk
7340,dell boomi
7340,technical leadership
7340,design and architecture
7341,audio visual equipment
7341,at&t; phone systems
7341,web-based collaboration tools
7341,cisco certified technician telepresence
7341,creston/cisco/polycom voip
7342,key requirements  * microsoft engineering certifications in windows 10
7342,sccm 2016/active directory  * scripting including powershell for sccm/ad
7342,citrix
7342,azure
7342,exchange
7342,sharepoint
7342,project * applica
7343,analysis
7343,configuration management
7343,data collection
7343,development
7343,hardware
7343,linux
7343,management
7343,metrics
7343,networks
7343,security
7344,network manager
7344,network engineer
7344,voice
7344,data
7344,cisco
7344,lan/wan
7345,abinitio
7345,etl
7345,dqe
7345,unix
7345,sql
7345,data profiling
7346,windows
7346,server 2008/2012
7346,vmware
7346,active directory policy and security management
7346,linux/unix
7346,ms office suite
7346,outlook
7346,and/or itel base management tool
7347,empower.net
7347,sql
7347,cognos or business objects
7347,report development
7348,good communication skills
7348,basic knowledge of computers
7349,
7350,systems analyst
7350,etl
7350,sata analysis
7350,agile
7350,data warehousing
7350,big data data management
7351,qlikview
7351,data modeling
7351,dashboard design and development
7351,sql
7351,ui design
7352,analysis
7352,analyst
7352,crystal reports
7352,data analysis
7352,database
7352,database administration
7352,developer
7352,excel
7352,sales
7352,sql
7352,sql server
7353,ms sql server
7353,python
7353,t-sql
7353,ssrs
7353,ssis
7353,api
7354,sas visual analytics 7.1
7354,netezza
7354,sas 9.4
7355,devops
7355,nodejs
7355,java
7355,goland
7355,data structures
7355,algorithms
7355,aws
7355,cryptography
7355,java
7355,spring
7355,application security software
7355,protocols
7355,iaas
7355,paas
7355,saas offerings
7355,virtualization
7355,container technologies
7356,analysis
7356,apache
7356,data collection
7356,development
7356,forth
7356,hadoop
7356,hardware
7356,http
7356,jenkins
7356,linux
7356,management
7356,mongodb
7356,networking
7356,nosql
7356,protocols
7356,security
7356,ssl
7356,technical writing
7356,testing
7356,unix
7356,windows
7357,agile
7357,architecture
7357,data modeling
7357,db2
7357,developer
7357,development
7357,j2ee
7357,modeling
7357,oracle
7357,programming
7357,subversion
7357,testing
7357,websphere
7358,java
7358,mvc
7358,spring
7358,boot
7358,quality
7358,sql
7358,no sql
7358,agile
7359,analysis
7359,analyst
7359,architecture
7359,automated
7359,case
7359,change management
7359,data analysis
7359,database
7359,developer
7359,development
7359,iterative
7359,javascript
7359,libraries
7359,manager
7359,management
7359,metrics
7359,middleware
7359,pc
7359,programming
7359,project
7359,project manager
7359,quality assurance
7359,security
7359,technical writer
7359,testing
7359,ups
7359,use case
7359,writer
7360,python
7360,pivot table
7360,data analysis
7360,sas
7360,sql
7360,sas/enterprise miner
7360,risk management
7360,risk analysis
7360,management information systems
7360,credit cards
7360,credit risk
7360,mathematics
7361,java
7361,mvc
7361,sql
7361,ajax
7361,spring
7361,hibernate
7362,linux* systems administration experience  	cloud virtualization  	linux os level patching and package management  	network protocols (such as arp
7362,dns
7362,smtp
7362,http
7362,and ntp)  	ability to troubles
7363,cognos
7363,database
7363,data modeling
7363,developer
7363,development
7363,modeling
7363,sdlc
7363,sql
7364,cabling
7364,cisco
7364,hardware
7364,management
7364,network
7364,networking
7364,switches
7364,technician
7365,asp .net
7365,entity
7365,angular 1.x
7365,mysql
7365,mvc
7366,datawarehouse developer
7366,data warehouse
7366,informatica
7366,kimball
7367,program manager tech 1 (non-engineering)
7368,sql
7368,business intelligence
7368,data analytics
7368,python - sql
7368,business intelligence
7368,data analytics
7368,python
7369,java/j2ee developers
7370,sql server dba
7371,mstr
7371,microstrategy
7371,business intelligence
7372,adobe aem
7373,sql server dba
7373,clustering
7374,ibm quality stage
7375,analysis
7375,architecture
7375,citrix
7375,database
7375,database administration
7375,development
7375,exchange
7375,firmware
7375,hardware
7375,management
7375,modeling
7375,networks
7375,pmp
7375,security
7375,simulation
7375,system architecture
7375,testing
7375,vmware
7375,vsphere
7376,business intelligence and data analytics
7376,map
7377,automation testing
7377,oracle erp
7378,senior systems engineer / senior dev ops engineer
7379,omnichannel
7379,ecommerce
7379,business analyst
7379,retail
7380,senior aix systems administrator
7381,java architect
7381,spring boot
7381,spring rest
7381,spring data
7381,jpa2
7381,jms
7381,spring batch
7381,micro services
7381,netflix
7381,spring cloud
7382,business intelligence cognos sql bi reporting
7383,oracle 11g
7383,erwin data modeler
7383,toad
7383,jira
7383,(jis)
7383,common functions proced
7383,back-end processes
7383,delete procedures
7383,update procedures
7383,insert procedures
7383,load testing
7383,stress testing
7383,performance testing
7384,angularjs
7384,bootstrap
7384,jquery
7384,css3
7384,html5; implementation experience with ux standards
7385,cloud
7385,architect
7385,sap
7385,hybris
7385,security
7385,sass
7385,paas
7385,iaas
7385,erp
7385,
7386,website building
7386,website deployment/hosting
7386,html5
7386,javascript
7386,and other skills necessary for fe and be web development
7387,systems analyst ii - it
7388,agile
7388,analysis
7388,data analysis
7388,database
7388,developer
7388,development
7388,git
7388,java
7388,lifecycle
7388,management
7388,mysql
7388,mysql
7388,scrum
7388,sdlc
7388,soap
7388,software engineer
7389,ssis azure bi sql
7390,jdedwards enterpriseone
7390,z-tables
7390,data table structures
7391,oracle/mysql/sql database
7391,itil and sdlc methodologies
7392,vmware
7392,hp data protector exp.
7392,back-up and restore exp.
7393,ajax
7393,analysis
7393,application servers
7393,configuration management
7393,consulting
7393,development
7393,html
7393,j2ee
7393,java
7393,javascript
7393,jdbc
7393,linux
7393,management
7393,olap
7393,oracle
7393,programming
7393,soap
7393,software engineer
7393,sql
7393,sql server
7393,websphere
7393,windows
7393,wsdl
7393,xml
7393,xsl
7393,xslt
7394,required skills included in description
7395,drivetrain controls engineer
7396,full stack
7396,front-end development
7396,mysql
7396,measuring ecommerce data analytics - full stack
7396,front-end development
7396,mysql
7396,measuring ecommerce data analytics
7397,linux administration
7397,microsoft windows
7397,apache http server
7397,nginx
7397,scripting
7397,programming
7398,java
7398,j2ee
7398,xml
7398,sql
7398,agile
7398,p&c; insurance
7398,insurance
7398,guidewire
7398,developer
7399,analysis
7399,analyst
7399,case
7399,metrics
7399,sales
7399,security
7399,supervision
7400,data mart
7400,excel
7400,manager
7400,management
7400,microsoft excel
7400,microsoft word
7400,powerpoint
7400,validation
7401,etl
7401,developer
7401,development
7401,"""data mining"""
7401,"""data warehouse"""
7401,"""big data"""
7402,virtualization engineer
7402,vmware
7402,systems engineer
7403,qualifications: knowledge/experience: must have: * strong statistics and data analytics academic background and knowledge of quantitative methods * good knowledge of sql
7403,hive
7403,sas
7403,and/or
7404,sql
7404,mysql
7404,ssrs
7404,sql server
7404,ms sql server
7404,microsoft sql server
7404,python
7404,azure
7404,data modeling
7404,c# - sql
7404,mysql
7404,ssrs
7404,sql server
7404,ms sql server
7404,microsoft sql server
7404,python
7404,azure
7404,data modeling
7404,c#
7405,agile
7405,analysis
7405,architecture
7405,automated
7405,case
7405,consulting
7405,database
7405,data modeling
7405,development
7405,ibm
7405,java
7405,management
7405,modeling
7405,project
7405,rational
7405,security
7405,soap
7405,specification
7405,uml
7405,xml
7406,power bi
7407,hadoop
7407,java
7407,python
7407,sql
7407,etl
7407,spark
7407,hive
7407,pig
7408,qa
7408,quality assurance
7408,system testing
7408,test case development
7408,software
7408,applications
7408,database
7408,defect management
7408,automated test software
7408,ranorex
7408,test
7408,validate
7409,java
7409,aws (redshift
7409,s3
7409,data pipeline)
7409,sql
7409,no sql (cassandra
7409,dynamodb)
7409,git
7409,jenkins
7409,agile
7410,project management
7410,business analysis
7410,agile
7410,scrum
7410,team foundation server
7410,requirements
7410,change management
7410,data modeling
7410,data flow & structure modeling
7410,oracle
7410,business objects
7410,testing
7411,cisco ccie
7411,juniper ncip-enterprise
7411,sniffer certified expert/master (sce/scm)
7411,itilv3
7411,network architect
7412,java
7412,big data
7412,hadoop
7412,spark
7412,flink
7412,aws
7412,amazon web services
7413,rack
7413,hexa data
7413,oracle 12c
7413,golden gate.
7414,javascript and ajax and css and jquery and json
7414,oracle and apex
7415,qa
7415,(amdocs or csg or icoms)
7415,test data
7416,business analyst
7417,configuration management
7417,java
7417,linux
7417,management
7417,metrics
7417,powershell
7417,programming
7417,python
7417,software engineer
7417,windows
7418,hardware configuration & sop documentation
7418,webex
7418,bluejeans
7418,cisco video codecs
7419,project manager  structured cabling
7419,audio visual/multimedia
7419,network engineering
7419,electrical engineering
7419,servers and storage
7419,
7419,voice services
7419,carrier services and telecommunications
7419,and data cen
7420,technical support python sql
7421,citrix
7421,dns
7421,hardware
7421,management
7421,networks
7421,vmware
7421,vsphere
7421,windows
7422,.net
7422,agile
7422,asp
7422,asp.net
7422,bash
7422,development
7422,hadoop
7422,html
7422,j2ee
7422,java
7422,javascript
7422,jquery
7422,jsp
7422,linux
7422,metrics
7422,networking
7422,nosql
7422,powershell
7422,protocols
7422,python
7422,scrum
7422,sdlc
7422,specification
7422,sql
7422,sql server
7422,sun
7422,tcp/ip
7422,vbscript
7422,windows
7423,analysis
7423,developer
7423,development
7423,excel
7423,inquire
7423,libraries
7423,microsoft excel
7423,project
7423,testing
7424,analysis
7424,cognos
7424,database
7424,database administration
7424,data warehouse
7424,development
7424,jcl
7424,programming
7424,security
7424,simulation
7424,sql
7424,testing
7424,validation
7425,sql database administration
7425,sql server 2014
7425,big data
7425,hp vertica
7425,hadoop
7425,stored procedures
7425,clusters - sql database administration
7425,sql server 2014
7425,big data
7425,hp vertica
7425,hadoop
7425,stored procedures
7425,clusters
7426,ccnp
7426,juniper
7427,analysis
7427,automotive
7427,data analysis
7427,engineer
7427,engineering
7427,engineers
7427,metrics
7427,project
7427,quality
7427,systems
7428,ms dynamics ax
7428,functional analyst
7428,business systems analyst ii
7429,api
7429,automated
7429,data collection
7429,developer
7429,development
7429,ide
7429,java
7429,jenkins
7429,linux
7429,management
7429,oop
7429,oracle
7429,programming
7429,qa
7429,scripts
7429,sql
7429,svn
7429,testing
7429,unix
7429,xml
7430,data center migration
7430,installation
7430,project coordination
7430,ms project
7430,mergers
7430,acquisitions
7431,etl
7431,informatica
7432,level 2 technician
7432,vmware
7432,networking
7432,level 3 technician
7433,see job description
7434,analysis
7434,analyst
7434,architecture
7434,business analyst
7434,data architecture
7434,erp
7434,management
7434,project
7434,project management
7434,protocols
7435,juniper
7435,network
7435,router
7435,switch
7436,analysis
7436,analyst
7436,analytical skills
7436,crystal reports
7436,database
7436,data collection
7436,data mining
7436,data query
7436,excel
7436,forth
7436,http
7436,management
7436,programming
7436,project
7436,project management
7436,sql
7436,statistical analysis
7436,supervisor
7436,vba
7437,hpc
7437,lustre
7437,luster
7437,parallel file
7437,object
7437,storage
7437,san
7437,raid
7437,iscsi
7437,cloud
7437,openstack
7438,analysis
7438,analyst
7438,business analyst
7438,consulting
7438,data mining
7438,data modeling
7438,development
7438,modeling
7438,sql
7438,statistical analysis
7438,validation
7439,bigdata
7439,java
7439,scala
7439,spark
7439,hadoop
7439,mapreduce
7439,aws
7439,redshift
7439,impala
7439,presto
7439,vertica
7439,nosql
7440,
7441,react.js
7441,javascript
7441,html5
7441,css3
7441,computer graphics
7441,data visualization
7441,startup experience
7441,frameworks (backbone.js/ember.js/angular.js)
7441,webgl - react.js
7441,javascript
7441,html5
7441,css3
7441,computer graphics
7441,data visualization
7441,startup experience
7441,frameworks (backbone.js/ember.js/angular.js)
7441,webgl
7442,tad pgs
7442,inc. specializes in delivering secure
7442,reliable and rapidly implemented workforce solutions to the u.s. federal marketplace
7442,including u.s. government agencies and their prime contractors. wi
7443,informatica
7443,oraclepl/sql
7443,business object
7443,data warehousing concepts
7444,software development engineer
7445,sap basis
7445,netweaver
7445,ecc
7445,crm
7445,solution manager
7446,sql
7446,etl
7446,microsoft sql server 2008r2
7446,oltp
7446,ssis
7446,bcp
7446,bulk
7446,ibm system i (i5
7446,as400)
7447,ccar reporting
7447,sql queries
7447,etl
7447,banking
7447,financial
7448,siebel
7448,workflows
7448,data model
7448,sql
7448,pl/sql
7448,eim
7448,eai
7448,configuration
7448,develop
7448,code
7448,implementation
7449,swift
7449,auto layout
7449,core data
7449,objective-c
7449,ios sdk
7449,object-oriented programming
7449,data modeling
7449,design patterns
7449,restful apis
7449,clean code and ux - swift
7449,auto layout
7449,core data
7449,objective-c
7449,ios sdk
7449,object-oriented programming
7449,data modeling
7449,design patterns
7449,restful apis
7449,clean code and ux
7450,web services
7450,cloud
7451,health
7451,insurance
7451,analyst
7451,audit
7451,medicaid
7451,hipaa
7451,icd-9
7451,10-cm
7451,quality
7451,
7452,architecture
7452,backup and recovery
7452,business requirements
7452,capacity planning
7452,change management
7452,database
7452,data warehouse
7452,development
7452,disaster recovery
7452,forth
